part,definition,root,plural,sg_class,pl_class
v,stretch,ongola,,,
v,add,onjeza,,,
v,break down,onongeka,,,
v,roast,otcha,,,
v,win,pambana,,,
v,make,panga,,,
v,seldom,patali patali,,,
v,give,patsa,,,
v,pray,pemphera,,,
v,console,pepesa,,,
v,give (dir),pereka (kwa),,,
v,find,peza,,,
v,be found,pezeka,,,
v,compete,pikisana,,,
v,go on,pitirira,,,
v,continue,pitiriza,,,
v,"rest, breathe",puma,,,
v,hurt,pweteka,,,
v,"wash (self), bathe",samba,,,
v,swim,sambira,,,
v,choose,sankha,,,
v,laugh,seka,,,
v,sweep,sesa,,,
v,change,sintha,,,
v,admire,sirira,,,
v,miss,sowa,,,
v,smoke,suta,,,
v,lose,taya,,,
v,"lose, throw away",taya,,,
v,"name, state",tchula,,,
v,land,tera,,,
v,be finished,tha,,,
v,run,thamanga,,,
v,help,thandiza,,,
v,work (out),theka,,,
v,be grateful,thokoza,,,
v,pour,"tira, apply",,,
v,tired,topa (pf),,,
v,say goodbye,tsanzika,,,
v,open,tsegula,,,
v,close,tseka,,,
v,"get off, disembark",tsika,,,
v,wash (dishes),tsuka,,,
v,"go out, rise (sun)",tuluka,,,
v,send,tumizira,,,
v,"draw, fetch (water)",tunga,,,
v,fly,uluka,,,
v,tell,uza,,,
v,tell,uza,,,
v,dance,vina,,,
v,agree,vomerezana,,,
v,suffer,vutika,,,
v,hurt,wawa,,,
v,"read, count",werenga,,,
v,knock off,weruka,,,
v,look for,yang'ana,,,
v,answer,yankho,,,
v,walk,yenda,,,
v,walk,yenda pansi,,,
v,visit,yendera,,,
v,drive,yendetsa,,,
v,have to,yenera,,,
v,"search, look for",yeng'ana,,,
v,compare,yerekeza,,,
v,try,yesa,,,
v,fry,zinga,,,
v,be used to,zolowera,,,
v,surround,zungulira,,,
vadj,clever,chenjela,,,
vadj,slim,chepa thupi,,,
vadj,cheap,chipa,,,
vadj,expensive,dula,,,
vadj,similar,fanana,,,
vadj,meek,fatsa,,,
vadj,red,fiila,,,
vadj,important,funika,,,
vadj,faithful,khulupirika,,,
vadj,angry,kwiya,,,
vadj,rich,lemera,,,
vadj,same,mwewu,,,
vadj,fat,nenepa,,,
vadj,dangerous,opsya,,,
vadj,first,yamba,,,
vadj,white,yela,,,
vadj,impossible,satheka,,,
v,chew,tafuna,,,
v,fill,zaza,,,
n,smell,fungo,mafungo,5,6
n,air,mbweya,,3,
v,kill,pha,,,
v,pull,koka,,,
v,push,kankha,,,
n,sweat,thukuta,,5,
n,body,thupi,matupi,5,6
v,die,fa,,,
n,water,madzi,,1,
n,lemon,ndimwi,mandimwi,5,6
n,neck,khosi,makosi,5,6
n,honey,uchi,,14,
n,disease,mthenda,matenda,9,6
n,bread,breedi,,,
n,example,chisanzo,zisanzo,7,8
n,virus,kachirombo,tizirombo,12,13
adv,recently,posachedwa pa,,,
adv,soon,posachedwa,,,
vadj,difficult,vuta,,,
vadj,easy,savuta,,,
v,mean,tanthauza,,,
n,bone,fupa,mafupa,5,6
n,earth,dothi,,5,
n,family,banja,,,
vadj,interesting,sangalatsa,,,
nadj,absent,jomba,,,
n,picture,chitunzi,zitunzi,7,8
n,paint,penti,,3,
v,surprise,dabwitsa,,,
n,reason,chifukwa,zifukwa,7,8
adv,like this,motere,,,
n,cinema,kanema,,5,
n,test,mayeso,,6,
v,err,lakwa,,,
v,conspire,pangana,,,
v,care,samala,,,
n,cleanliness,ukhondo,,14,
n,toothbrush,mswachi,miswachi,3,4
